IC,AWARDS,FUNDING,FUNDING_INT
FIC,94,"$18,949,061 ",18949061
NCATS,134,"$86,257,083 ",86257083
NCCIH,244,"$119,710,949 ",119710949
NCI,5439,"$2,501,188,023 ",2501188023
NEI,1332,"$522,460,731 ",522460731
NHGRI,392,"$341,546,138 ",341546138
NHLBI,4226,"$2,551,953,273 ",2551953273
NIA,2922,"$2,154,568,093 ",2154568093
NIAAA,807,"$304,604,719 ",304604719
NIAID,5188,"$3,328,218,963 ",3328218963
NIAMS,1120,"$499,267,127 ",499267127
NIBIB,768,"$318,654,285 ",318654285
NICHD,1964,"$862,468,970 ",862468970
NIDA,1783,"$1,087,665,187 ",1087665187
NIDCD,915,"$357,112,587 ",357112587
NIDCR,722,"$321,404,833 ",321404833
NIDDK,2951,"$1,454,559,250 ",1454559250
NIEHS,751,"$298,549,125 ",298549125
NIGMS,5160,"$1,894,535,662 ",1894535662
NIMH,2465,"$1,369,649,878 ",1369649878
NIMHD,316,"$153,332,771 ",153332771
NINDS,3530,"$1,731,824,451 ",1731824451
NINR,261,"$117,907,775 ",117907775
NLM,110,"$42,926,434 ",42926434
OD,179,"$199,387,587 ",199387587
