IC,AWARDS,FUNDING,FUNDING_INT
FIC,82,"$16,745,165 ",16745165
NCATS,155,"$91,101,126 ",91101126
NCCIH,259,"$135,629,804 ",135629804
NCI,5481,"$2,752,867,597 ",2752867597
NEI,1370,"$541,838,102 ",541838102
NHGRI,428,"$356,799,267 ",356799267
NHLBI,4292,"$2,619,445,330 ",2619445330
NIA,3286,"$2,447,212,149 ",2447212149
NIAAA,811,"$317,082,367 ",317082367
NIAID,5862,"$4,659,748,675 ",4659748675
NIAMS,1138,"$470,885,070 ",470885070
NIBIB,758,"$329,274,729 ",329274729
NICHD,1977,"$903,661,261 ",903661261
NIDA,1617,"$980,350,440 ",980350440
NIDCD,900,"$366,162,114 ",366162114
NIDCR,743,"$321,818,865 ",321818865
NIDDK,3089,"$1,545,384,195 ",1545384195
NIEHS,760,"$311,404,055 ",311404055
NIGMS,5318,"$1,973,754,584 ",1973754584
NIMH,2534,"$1,453,660,507 ",1453660507
NIMHD,314,"$158,377,839 ",158377839
NINDS,3512,"$1,938,095,176 ",1938095176
NINR,281,"$129,135,937 ",129135937
NLM,126,"$43,083,573 ",43083573
OD,209,"$193,369,879 ",193369879
